subject,sentence,word,N400,N400base,surpSF,surpMYLM,surpGPT2,mylmSU,SU
subj_18,sent_18,put,0.592888355,-3.382766485,5.351066113,6.048207283,7.36801814,0.293801814,0.101914354
subj_18,sent_18,the,1.917820454,-4.479760647,1.770247459,1.920830488,2.002105684,0.293436408,0.044895489
subj_18,sent_18,fork,-2.967024565,2.738879442,10.43968105,9.753500938,8.20211793,0.284628272,0.042141877
subj_18,sent_18,on,-1.924195051,-3.404375076,3.163882732,1.464587688,2.591787305,0.273069978,0.038226355
subj_18,sent_18,the,2.594760895,-4.493816376,0.872419178,0.829532564,0.754872255,0.274709553,0.019865155
subj_18,sent_18,table,2.318555117,-0.175231531,6.290176392,6.178593636,1.324596366,0.29413873,0.026812922
subj_19,sent_18,put,1.882653475,-14.37248325,5.351066113,6.048207283,7.36801814,0.293801814,0.101914354
subj_19,sent_18,the,7.538226604,-0.324056894,1.770247459,1.920830488,2.002105684,0.293436408,0.044895489
subj_19,sent_18,fork,4.154335499,-9.219551086,10.43968105,9.753500938,8.20211793,0.284628272,0.042141877
subj_20,sent_18,put,1.59662509,-0.704048693,5.351066113,6.048207283,7.36801814,0.293801814,0.101914354
subj_20,sent_18,the,-3.17759347,-0.841288388,1.770247459,1.920830488,2.002105684,0.293436408,0.044895489
subj_20,sent_18,fork,4.289610386,-6.900742054,10.43968105,9.753500938,8.20211793,0.284628272,0.042141877
subj_20,sent_18,on,2.362844944,-5.647206306,3.163882732,1.464587688,2.591787305,0.273069978,0.038226355
subj_20,sent_18,the,-8.916399002,-1.818472624,0.872419178,0.829532564,0.754872255,0.274709553,0.019865155
subj_20,sent_18,table,-6.802829742,-1.521615863,6.290176392,6.178593636,1.324596366,0.29413873,0.026812922
subj_21,sent_18,put,3.933805466,-1.65207386,5.351066113,6.048207283,7.36801814,0.293801814,0.101914354
subj_21,sent_18,the,-1.04538548,-2.351880789,1.770247459,1.920830488,2.002105684,0.293436408,0.044895489
subj_21,sent_18,fork,-2.82338047,-2.044735193,10.43968105,9.753500938,8.20211793,0.284628272,0.042141877
subj_21,sent_18,on,-1.224473,7.449159145,3.163882732,1.464587688,2.591787305,0.273069978,0.038226355
subj_21,sent_18,the,-3.302357912,-7.272186279,0.872419178,0.829532564,0.754872255,0.274709553,0.019865155
subj_23,sent_18,put,-0.253791809,-2.212335587,5.351066113,6.048207283,7.36801814,0.293801814,0.101914354
subj_23,sent_18,the,-0.19679223,1.32192266,1.770247459,1.920830488,2.002105684,0.293436408,0.044895489
subj_23,sent_18,fork,-5.736341476,1.301612377,10.43968105,9.753500938,8.20211793,0.284628272,0.042141877
subj_23,sent_18,on,-1.901313305,-6.455925941,3.163882732,1.464587688,2.591787305,0.273069978,0.038226355
subj_23,sent_18,the,-1.322296619,-1.953723431,0.872419178,0.829532564,0.754872255,0.274709553,0.019865155
subj_23,sent_18,table,5.917611599,-1.303068876,6.290176392,6.178593636,1.324596366,0.29413873,0.026812922
subj_24,sent_18,put,-5.174671173,-2.287687778,5.351066113,6.048207283,7.36801814,0.293801814,0.101914354
subj_24,sent_18,the,2.51393342,-4.936053276,1.770247459,1.920830488,2.002105684,0.293436408,0.044895489
subj_24,sent_18,fork,-5.319924831,-1.364212751,10.43968105,9.753500938,8.20211793,0.284628272,0.042141877
subj_24,sent_18,on,-3.770997286,-2.663439274,3.163882732,1.464587688,2.591787305,0.273069978,0.038226355
subj_24,sent_18,the,1.306651115,-12.69653702,0.872419178,0.829532564,0.754872255,0.274709553,0.019865155
subj_24,sent_18,table,0.534217179,0.079217307,6.290176392,6.178593636,1.324596366,0.29413873,0.026812922
subj_1,sent_19,lost,0.270525903,1.403934598,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_1,sent_19,control,7.11703968,-4.56311512,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_1,sent_19,and,0.752143919,-3.844122887,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_1,sent_19,laughed,-0.298235416,11.39719009,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_2,sent_19,lost,-1.297619224,-1.236935019,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_2,sent_19,and,-0.853847861,-6.757852077,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_2,sent_19,laughed,-7.658105373,-6.99242878,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_3,sent_19,lost,3.849312067,-2.462163925,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_3,sent_19,control,-4.374295235,0.262906522,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_3,sent_19,and,-1.135392189,-0.494698405,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_3,sent_19,laughed,5.025068283,-5.80985117,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_4,sent_19,laughed,-7.78664875,1.963848114,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_5,sent_19,lost,-3.344725132,-2.581417799,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_5,sent_19,control,5.121814728,-2.683176517,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_5,sent_19,and,0.317797482,0.501608133,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_5,sent_19,laughed,2.08823657,3.724645615,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_6,sent_19,lost,-1.096973062,1.246136785,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_6,sent_19,control,-0.813693643,-2.043121576,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_6,sent_19,and,4.740675449,-2.411956072,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_6,sent_19,laughed,2.687468529,-0.966756284,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_7,sent_19,lost,-3.968625307,-2.810150862,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_7,sent_19,control,-0.125048876,4.013030052,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_7,sent_19,and,-6.166971207,3.642694473,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_7,sent_19,laughed,-4.542059898,-4.336911201,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_8,sent_19,lost,-2.787545204,2.75879693,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_8,sent_19,control,-2.188695431,-4.440915585,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_8,sent_19,and,6.897522449,0.747814357,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_8,sent_19,laughed,0.529682517,-1.801926613,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_9,sent_19,lost,1.194182038,12.62869549,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_9,sent_19,and,-1.608473182,-20.36804771,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_9,sent_19,laughed,-2.402041197,4.823654175,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_10,sent_19,lost,-0.751924276,-2.66079998,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_10,sent_19,control,-3.436627865,-2.994827271,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_10,sent_19,and,2.056586504,-0.090884469,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_10,sent_19,laughed,-4.286974907,3.423758745,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_11,sent_19,lost,3.73481679,-1.327267408,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_11,sent_19,control,-1.347591043,-7.116579533,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_11,sent_19,and,-3.999780893,0.122296602,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_12,sent_19,lost,-1.907031655,-4.089817524,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_12,sent_19,control,3.321696281,1.975538135,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_12,sent_19,and,1.206388474,-6.258368015,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_12,sent_19,laughed,2.013266802,-0.721642971,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_13,sent_19,lost,2.243109226,-1.801895499,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_13,sent_19,control,1.255820513,0.677295864,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_13,sent_19,and,1.156534791,0.348814249,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_13,sent_19,laughed,2.585906982,1.098231196,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_14,sent_19,and,8.441866875,-6.430439949,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_14,sent_19,laughed,-2.057469845,3.14306879,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_15,sent_19,lost,-3.177103758,8.866474152,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_15,sent_19,control,-5.031102657,-4.591730595,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_15,sent_19,and,3.617982864,-3.968815327,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_15,sent_19,laughed,10.60863495,7.863062859,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
subj_16,sent_19,lost,1.674566031,1.036192179,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_16,sent_19,control,-1.005836248,1.732333422,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_17,sent_19,lost,-8.404413223,-5.631871223,7.097970963,8.857629776,10.90956402,0.278158814,0.099610448
subj_17,sent_19,control,3.498831034,7.300346851,7.546122074,9.114009857,4.90357162,0.244291812,0.074982949
subj_17,sent_19,and,-3.976168156,2.467361689,2.91979003,2.413354397,2.999275169,0.276131481,0.052497298
subj_17,sent_19,laughed,-5.338551044,-2.533458948,11.52175236,10.9326067,8.626183537,0.293798119,0.03113367
