"model","layer","n_layers","n_rows","beta","se","chi2","p","daic","sig","layer_pct"
"eleutherai_pythia_2.8b_deduped",4,32,45879,-0.0119577016982873,0.00190863965966949,39.0301727236074,4.1730582822536e-10,37.0301727236074,"***",0.129032258064516
"eleutherai_pythia_2.8b_deduped",5,32,45879,-0.0137269336000825,0.00183556062157161,55.3980948999815,9.8431803619033e-14,53.3980948999815,"***",0.161290322580645
"eleutherai_pythia_2.8b_deduped",6,32,45879,-0.014766925767095,0.001787877872606,67.5090703527094,2.09720050791282e-16,65.5090703527094,"***",0.193548387096774
"eleutherai_pythia_2.8b_deduped",7,32,45879,-0.0160130296711941,0.00178462472747883,79.5696243633574,4.6552786611604e-19,77.5696243633574,"***",0.225806451612903
"eleutherai_pythia_2.8b_deduped",8,32,45879,-0.0171933313800406,0.00176327577295487,93.7276915116236,3.62059919615152e-22,91.7276915116236,"***",0.258064516129032
"eleutherai_pythia_2.8b_deduped",9,32,45879,-0.0181373809408259,0.00176185618531138,104.352996821195,1.69299532748275e-24,102.352996821195,"***",0.290322580645161
"eleutherai_pythia_2.8b_deduped",10,32,45879,-0.0177349211014352,0.00170419070733126,106.54012208138,5.61442205355145e-25,104.54012208138,"***",0.32258064516129
"eleutherai_pythia_2.8b_deduped",11,32,45879,-0.0177947140410863,0.00168461869274759,109.78463481272,1.0923684136387e-25,107.78463481272,"***",0.354838709677419
"eleutherai_pythia_2.8b_deduped",12,32,45879,-0.0177250501743699,0.00166054241185302,112.174251262782,3.27246803499902e-26,110.174251262782,"***",0.387096774193548
"eleutherai_pythia_2.8b_deduped",13,32,45879,-0.018290925587116,0.00161618377068399,125.789423127033,3.41904914610874e-29,123.789423127033,"***",0.419354838709677
"eleutherai_pythia_2.8b_deduped",14,32,45879,-0.0182983518237467,0.00155664735480084,135.648253668856,2.38201382397105e-31,133.648253668856,"***",0.451612903225806
"eleutherai_pythia_2.8b_deduped",15,32,45879,-0.01959121757769,0.00151940488186042,162.347446330736,3.47361903486827e-37,160.347446330736,"***",0.483870967741935
"eleutherai_pythia_2.8b_deduped",16,32,45879,-0.019421676660127,0.00146849933952425,170.910117128078,4.68156287442097e-39,168.910117128078,"***",0.516129032258065
"eleutherai_pythia_2.8b_deduped",17,32,45879,-0.0195049957593267,0.00141194155943158,186.102620646532,2.25470708177447e-42,184.102620646532,"***",0.548387096774194
"eleutherai_pythia_2.8b_deduped",18,32,45879,-0.0201476827258063,0.00141639824355919,196.984525394408,9.50386803602134e-45,194.984525394408,"***",0.580645161290323
"eleutherai_pythia_2.8b_deduped",19,32,45879,-0.0214423629788033,0.00144102355261023,215.011420445022,1.10809162244934e-48,213.011420445022,"***",0.612903225806452
"eleutherai_pythia_2.8b_deduped",20,32,45879,-0.0208668527668413,0.00144390049809845,203.29594696041,3.9866775387719e-46,201.29594696041,"***",0.645161290322581
"eleutherai_pythia_2.8b_deduped",21,32,45879,-0.0210601330032684,0.00139111385902393,222.533473524192,2.53385906136286e-50,220.533473524192,"***",0.67741935483871
"eleutherai_pythia_2.8b_deduped",22,32,45879,-0.0202259598447955,0.00133014027857082,224.640147592057,8.79621598627582e-51,222.640147592057,"***",0.709677419354839
"eleutherai_pythia_2.8b_deduped",23,32,45879,-0.0198188039167269,0.00127165420343367,235.797940381482,3.24321100403163e-53,233.797940381482,"***",0.741935483870968
"eleutherai_pythia_2.8b_deduped",24,32,45879,-0.0196901638264873,0.00123653104192159,245.899122405273,2.03468435756956e-55,243.899122405273,"***",0.774193548387097
"eleutherai_pythia_2.8b_deduped",25,32,45879,-0.0193030265216327,0.00121262078923773,245.766736793303,2.1745040553247e-55,243.766736793303,"***",0.806451612903226
"eleutherai_pythia_2.8b_deduped",26,32,45879,-0.0190130305324206,0.00120808590491869,240.522676084845,3.02509707436498e-54,238.522676084845,"***",0.838709677419355
"eleutherai_pythia_2.8b_deduped",27,32,45879,-0.0190655759902664,0.00120030169531005,245.094583147453,3.04723870821069e-55,243.094583147453,"***",0.870967741935484
"eleutherai_pythia_2.8b_deduped",28,32,45879,-0.0185726284784917,0.00118885196308164,237.444285888865,1.4189839109216e-53,235.444285888865,"***",0.903225806451613
"eleutherai_pythia_2.8b_deduped",29,32,45879,-0.0189786136653806,0.0012247766395206,233.711764822117,9.24476949335855e-53,231.711764822117,"***",0.935483870967742
"eleutherai_pythia_2.8b_deduped",30,32,45879,-0.0180759523104427,0.00118160458475136,228.02655740935,1.60592554181596e-51,226.02655740935,"***",0.967741935483871
"eleutherai_pythia_2.8b_deduped",31,32,45879,-0.01755352071512,0.001118468335035,239.200349166058,5.87579028436438e-54,237.200349166058,"***",1
"eleutherai_pythia_410m_deduped",0,24,45879,-0.00499956284775903,0.00130533279065892,14.6266433429992,0.000131048656157343,12.6266433429992,"***",0
"eleutherai_pythia_410m_deduped",1,24,45879,-0.00517457586653065,0.00185334918067775,7.78556302867946,0.00526653753915187,5.78556302867946,"**",0.0434782608695652
"eleutherai_pythia_410m_deduped",2,24,45879,-0.00739501241953473,0.00200450247281787,13.575268288012,0.000229185229011104,11.575268288012,"***",0.0869565217391304
"eleutherai_pythia_410m_deduped",3,24,45879,-0.0111327287325853,0.0019671096094185,31.8634215493803,1.65402796771719e-08,29.8634215493803,"***",0.130434782608696
"eleutherai_pythia_410m_deduped",4,24,45879,-0.011005126714191,0.00187643059196387,34.1934336841514,4.98970340090614e-09,32.1934336841514,"***",0.173913043478261
"eleutherai_pythia_410m_deduped",5,24,45879,-0.0121886517589079,0.00162386123263042,55.8799593507138,7.70338317321761e-14,53.8799593507138,"***",0.217391304347826
"eleutherai_pythia_410m_deduped",6,24,45879,-0.0142869557858984,0.0017369911261894,66.9783730313065,2.74502074912885e-16,64.9783730313065,"***",0.260869565217391
"eleutherai_pythia_410m_deduped",7,24,45879,-0.0141745852098432,0.00178492424933287,62.4902555659501,2.6776623724671e-15,60.4902555659501,"***",0.304347826086957
"eleutherai_pythia_410m_deduped",8,24,45879,-0.0144285036967985,0.00176678779223447,66.0166311831854,4.47134093902249e-16,64.0166311831854,"***",0.347826086956522
"eleutherai_pythia_410m_deduped",9,24,45879,-0.0156790469728232,0.0017240700681973,81.710876479061,1.57524206974238e-19,79.710876479061,"***",0.391304347826087
"eleutherai_pythia_410m_deduped",10,24,45879,-0.0163532379087569,0.00169448491728335,91.8015877428988,9.58175532701243e-22,89.8015877428988,"***",0.434782608695652
"eleutherai_pythia_410m_deduped",11,24,45879,-0.0155327261741645,0.00171597579793081,80.9369332401984,2.3303735861904e-19,78.9369332401984,"***",0.478260869565217
"eleutherai_pythia_410m_deduped",12,24,45879,-0.0171330676403677,0.00161046084539956,111.385732517694,4.87085984686563e-26,109.385732517694,"***",0.521739130434783
"eleutherai_pythia_410m_deduped",13,24,45879,-0.0166472956385846,0.0016102732699361,105.350355076065,1.02342087204821e-24,103.350355076065,"***",0.565217391304348
"eleutherai_pythia_410m_deduped",14,24,45879,-0.0179450765837117,0.00159163447869246,125.111890387168,4.81043649356238e-29,123.111890387168,"***",0.608695652173913
"eleutherai_pythia_410m_deduped",15,24,45879,-0.0176598309309483,0.0014795804551644,139.912933336047,2.78133468168016e-32,137.912933336047,"***",0.652173913043478
