stim_id,dataset,critical_word,word_length,word_position,zipf_freq,log10_word_freq,coltheart_n
1286,frank_2015,barely,6,1,4.49,-4.510027465964983,3
1287,frank_2015,escaped,7,2,4.18,-4.82099429243518,2
1288,frank_2015,with,4,3,6.85,-2.149966680969207,8
1289,frank_2015,our,3,4,6.14,-2.860120598892731,16
1290,frank_2015,lives,5,5,5.14,-3.860117766548703,7
1291,frank_2015,felt,4,1,5.13,-3.8696630145207465,16
1292,frank_2015,proud,5,2,4.78,-4.219675485689354,1
1293,frank_2015,when,4,3,6.37,-2.630783956993964,14
1294,frank_2015,he,2,4,6.69,-2.3098038313399685,23
1295,frank_2015,went,4,5,5.5,-3.5003115430341447,30
1296,frank_2015,home,4,6,5.81,-3.1897668097229563,25
1297,frank_2015,got,3,1,5.91,-3.0899089202187056,37
1298,frank_2015,up,2,2,6.39,-2.61083373837245,7
1299,frank_2015,and,3,3,7.41,-1.5900668597700878,15
1300,frank_2015,washed,6,4,4.1,-4.899594988434111,5
1301,frank_2015,his,3,5,6.51,-2.4894548557519016,15
1302,frank_2015,plate,5,6,4.55,-4.44975941346983,13
1303,frank_2015,stood,5,1,4.57,-4.429445385692169,9
1304,frank_2015,up,2,2,6.39,-2.61083373837245,7
1305,frank_2015,and,3,3,7.41,-1.5900668597700878,15
1306,frank_2015,wiped,5,4,3.86,-5.140201452519435,5
1307,frank_2015,his,3,5,6.51,-2.4894548557519016,15
1308,frank_2015,jeans,5,6,4.09,-4.910059581501365,1
1309,frank_2015,shouted,7,1,3.78,-5.219610671529047,3
1310,frank_2015,and,3,2,7.41,-1.5900668597700878,15
1311,frank_2015,the,3,3,7.73,-1.270025706213024,14
1312,frank_2015,calling,7,4,4.96,-4.040000399696793,12
1313,frank_2015,ceased,6,5,3.81,-5.189700258959832,0
1314,frank_2015,broken,6,1,4.88,-4.119752502212281,2
1315,frank_2015,his,3,2,6.51,-2.4894548557519016,15
1316,frank_2015,wrists,6,3,3.4,-5.600153287287077,0
1317,frank_2015,very,4,4,6.0,-2.9999995657057354,8
1318,frank_2015,badly,5,5,4.44,-4.560651513930252,3
1319,frank_2015,smiled,6,1,3.86,-5.140201452519435,4
1320,frank_2015,and,3,2,7.41,-1.5900668597700878,15
1321,frank_2015,bit,3,3,5.37,-3.6307822866344983,28
1322,frank_2015,his,3,4,6.51,-2.4894548557519016,15
1323,frank_2015,bottom,6,5,4.84,-4.159887629656769,0
1324,frank_2015,lip,3,6,4.13,-4.869634062734793,26
1325,frank_2015,had,3,1,6.33,-2.6695860237095097,33
1326,frank_2015,refused,7,2,4.54,-4.459658009698343,1
1327,frank_2015,to,2,3,7.43,-1.570247703852816,37
1328,frank_2015,leave,5,4,5.34,-3.6595539020845833,9
1329,frank_2015,her,3,5,6.3,-2.6989697871888323,22
1330,frank_2015,home,4,6,5.81,-3.1897668097229563,25
1331,frank_2015,dead,4,1,5.19,-3.8096654999388635,18
1332,frank_2015,must,4,2,5.68,-3.319663579917319,24
1333,frank_2015,not,3,3,6.69,-2.3098038313399685,35
1334,frank_2015,kill,4,4,5.09,-3.9100913577255088,26
1335,frank_2015,the,3,0,7.73,-1.270025706213024,14
1336,frank_2015,living,6,6,5.3,-3.698967832869038,7
1337,frank_2015,van,3,1,4.78,-4.219675485689354,34
1338,frank_2015,is,2,2,7.07,-1.9318141011346535,16
1339,frank_2015,your,4,3,6.53,-2.4698001736864703,11
1340,frank_2015,lead,4,4,5.2,-3.801340164355023,24
1341,frank_2015,follow,6,5,5.14,-3.860117766548703,4
